strain	clade
a/chicken/camau/1180/2006	1.1
a/duck/vietnamhaugiang/ncvd_12/2007	1.1
a/muscovyduck/camau/1185/2006	1.1
a/chicken/cambodia/lc1al/2007	1.1
a/duck/haugiang/07_12/2007	1.1
a/chicken/cambodia/lc3al/2007	1.1
a/muscovyduck/camau/1181/2006	1.1
a/duck/cambodia/d3kc167/2006	1.1
a/chicken/cambodia/67f8/2008	1.1
a/duck/vietnam/angiang680b/2005	1.1
a/chicken/baclieu/1214/2007	1.1
a/muscovyduck/vietnam/bentre342/2006	1.1
a/duck/vietnam/camau498/2006	1.1
a/duck/vietnam/camau498a/2006	1.1
a/duck/vietnam/tiengiang409/2006	1.1
a/chicken/cambodia/67f4/2008	1.1
a/duck/baclieu/07_09/2007	1.1
a/duck/cambodia/d2kc167/2006	1.1
a/chicken/vietnam/29/2007	1.1
a/duck/soctrang/07_25/2007	1.1
a/chicken/baclieu/07_10/2007	1.1
a/muscovyduck/vietnam/33/2007	1.1
a/duck/baclieu/1213/2007	1.1
a/chicken/vietnam/ncvd_117/2008	1.1.1
a/muscovyduck/vietnam/oie_559/2011	1.1.1
a/cambodia/v0606311/2011	1.1.1
a/duck/vietnam/oie_0062/2012	1.1.1
a/chicken/cambodia/67f1/2008	1.1.1
a/chicken/vietnam/tv98/2008	1.1.1
a/chicken/vietnam/kh/2010	1.1.1
a/cambodia/v0401301/2011	1.1.1
a/cambodia/s1211394/2008	1.1.1
a/chicken/vietnam/kg8/2008	1.1.1
a/chicken/vietnam/ncvd_ka57/2012	1.1.1
a/environment/cambodia/c1154w38m1/2013	1.1.2
a/cambodia/v0719348/2011	1.1.2
a/chicken/soctrang/1/2012	1.1.2
a/cambodia/x0808305/2013	1.1.2
a/cambodia/v0813302/2011	1.1.2
a/cambodia/v0219301/2011	1.1.2
a/chicken/soctrang/5/2012	1.1.2
a/duck/cambodia/w0530392/2012	1.1.2
a/environment/cambodia/c425d/2011	1.1.2
a/chicken/cambodia/089lc3/2011	1.1.2
a/civetcat/cambodia/x0313307/2013	1.1.2
a/chicken/cambodia/x0815301/2013	1.1.2
a/chicken/cambodia/089lc2/2011	1.1.2
a/muscovyduck/vietnam/ncvd_ka426/2013	1.1.2
a/environment/cambodia/c57w/2011	1.1.2
a/environment/cambodia/c453w/2011	1.1.2
a/duck/cambodia/tk05d8t/2010	1.1.2
a/chicken/cambodia/w0530390/2012	1.1.2
a/environment/cambodia/e1178w38m3pop661g/2013	1.1.2
a/cambodia/x0916322/2013	1.1.2
a/duck/cambodia/261w7m2/2013	1.1.2
a/chicken/cambodia/x0124310/2013	1.1.2
a/duck/cambodia/143w4m4/2013	1.1.2
a/cambodia/x0123311/2013	1.1.2
a/cambodia/x0913301/2013	1.1.2
a/chicken/cambodia/tkcmb5t/2010	1.1.2
a/duck/vietnam/ncvd_ka206/2012	1.1.2
a/chicken/cambodia/w0530391/2012	1.1.2
a/cambodia/x1024307/2013	1.1.2
a/chicken/cambodia/089lc1/2011	1.1.2
a/cambodia/x0628313/2013	1.1.2
a/duck/soctrang/8/2012	1.1.2
a/duck/cambodia/tk05d12t/2010	1.1.2
a/environment/cambodia/e290w9m1/2013	1.1.2
a/chicken/vietnam/ncvd_a937/2011	1.1.2
a/chicken/vietnam/ncvd_ka428/2013	1.1.2
a/duck/cambodia/tk007d5t/2010	1.1.2
a/duck/cambodia/072d6/2011	1.1.2
a/duck/cambodia/11w2m1/2013	1.1.2
a/chicken/cambodia/x0815302/2013	1.1.2
a/duck/cambodia/250w7m1/2013	1.1.2
a/cambodia/x0215301/2013	1.1.2
a/muscovyduck/vietnam/oie_3509/2011	1.1.2
a/environment/cambodia/e328w9m4/2013	1.1.2
a/cambodia/x0212301/2013	1.1.2
a/environment/cambodia/e73w3m3/2013	1.1.2
a/maraboustork/cambodia/tm068/2011	1.1.2
a/chicken/cambodia/tkcmb8f/2010	1.1.2
a/duck/cambodia/pv027d1/2010	1.1.2
a/chicken/cambodia/x0218303/2013	1.1.2
a/environment/cambodia/c429d/2011	1.1.2
a/chicken/cambodia/x0305302/2013	1.1.2
a/cambodia/v0417301/2011	1.1.2
a/cambodia/x0207301/2013	1.1.2
a/cambodia/x0123312/2013	1.1.2
a/chicken/cambodia/pv025lc4/2010	1.1.2
a/environment/cambodia/c1190w38m4/2013	1.1.2
a/environment/cambodia/e1178w38m3pop661c/2013	1.1.2
a/duck/cambodia/072d1/2011	1.1.2
a/duck/cambodia/x0220302/2013	1.1.2
a/chicken/cambodia/x0815303/2013	1.1.2
a/duck/vietnam/st0970/2009	1.1.2
a/chicken/cambodia/w0530389/2012	1.1.2
a/muscovyduck/vietnam/oie_0043/2012	1.1.2
a/cambodia/x0817302/2013	1.1.2
a/cambodia/x0810301/2013	1.1.2
a/cambodia/w0329318/2012	1.1.2
a/cambodia/x0828324/2013	1.1.2
a/civetcat/cambodia/x0313306/2013	1.1.2
a/chicken/cambodia/083lc/2011	1.1.2
a/cambodia/w0526301/2012	1.1.2
a/duck/vietnam/oie_3038/2012	1.1.2
a/chicken/vietnam/ncvd_ka42/2012	1.1.2
a/muscovyduck/vietnam/oie_3314/2011	1.1.2
a/duck/cambodia/191w5m4/2013	1.1.2
a/environment/cambodia/c53w/2011	1.1.2
a/cambodia/w0112303/2012	1.1.2
a/duck/vietnam/oie_3002/2011	1.1.2
a/cambodia/v0203306/2011	1.1.2
a/chicken/soctrang/4/2012	1.1.2
a/cambodia/x0502302/2013	1.1.2
a/chicken/cambodia/pv025lc1/2010	1.1.2
a/cambodia/u0417030/2010	1.1.2
a/chicken/cambodia/pv025lc2/2010	1.1.2
a/duck/cambodia/33w2m3/2013	1.1.2
a/cambodia/x0219301/2013	1.1.2
a/chicken/soctrang/2/2012	1.1.2
a/environment/cambodia/c85w/2011	1.1.2
a/duck/cambodia/tk007d1c/2010	1.1.2
a/chicken/soctrang/3/2012	1.1.2
a/chicken/vietnam/dt382/2008	1.1.2
a/muscovyduck/vietnam/oie_3312/2011	1.1.2
a/duck/khanhhoa/cvvi_24/2013	1.1.2
a/chicken/vietnam/ncvd_ka448/2013	1.1.2
a/duck/cambodia/46w2m4/2013	1.1.2
a/cambodia/x0125302/2013	1.1.2
a/chicken/cambodia/008lc1/2011	1.1.2
a/duck/cambodia/59w3m1/2013	1.1.2
a/environment/cambodia/c433w/2011	1.1.2
a/chicken/jiangxi/25/2004	2-like
a/goose/jilin/514/2005	2-like
a/mallard/huadong/y/2003	2-like
a/chicken/shantou/3744/2003	2-like
a/raccoondog/shandong/sd2/2005	2-like
a/raccoondog/shandong/sd1/2005	2-like
a/tiger/shanghai/01/2005	2-like
a/chicken/indonesia/11/2003	2.1.1
a/chicken/tabanan/bbvd_107/2007	2.1.1
a/chicken/eastkalimantan/ut1035/2004	2.1.1
a/swine/banten/ut3081/2005	2.1.1
a/chicken/westjava/ut1001/2003	2.1.1
a/chicken/westjava/hamd/2006	2.1.1
a/swine/banten/ut3063/2005	2.1.1
a/duck/eastjava/ut1046/2004	2.1.1
a/quail/yogjakarta/ut1075/2004	2.1.1
a/chicken/tabanan/bbvd_142/2007	2.1.1
a/swine/banten/ut2071/2005	2.1.1
a/chicken/indonesia/wates80/2005	2.1.1
a/chicken/denpasar/bbvd_456/2007	2.1.1
a/chicken/indonesia/r60/05	2.1.1
a/chicken/pare/pusvetma/2005	2.1.1
a/chicken/legok/2003	2.1.1
a/duck/eastjava/ut1107/2004	2.1.1
a/quail/yogjakarta/ut1023/2004	2.1.1
a/chicken/indonesia/8/2003	2.1.1
